year_built,stories,num_bedrooms,full_bathrooms,half_bathrooms,livable_sqft,total_sqft,garage_type,garage_sqft,carport_sqft,has_fireplace,has_pool,has_central_heating,has_central_cooling,house_number,street_name,unit_number,city,zip_code,sale_price
1978,1,4,1,1,1689,1859,attached,508,0,True,False,True,True,42670,Lopez Crossing,,Hallfort,10907,270897.0
1958,1,3,1,1,1984,2002,attached,462,0,True,False,True,True,5194,Gardner Park,,Hallfort,10907,302404.0
2002,1,3,2,0,1581,1578,none,0,625,False,False,True,True,4366,Harding Islands,,Lake Christinaport,11203,2519996.0
2004,1,4,2,0,1829,2277,attached,479,0,True,False,True,True,3302,Michelle Highway,,Lake Christinaport,11203,197193.0
2006,1,4,2,0,1580,1749,attached,430,0,True,False,True,True,582,Jacob Cape,,Lake Christinaport,11203,207897.0
2005,1,3,2,0,1621,1672,attached,430,0,True,False,True,True,78445,Michelle Highway,,Lake Christinaport,11203,196559.0
1979,1,3,2,1,2285,2365,detached,532,0,True,False,True,True,246,Harris Estates,,Morrisport,10924,434697.0
1958,1,5,2,0,1745,1741,none,0,0,False,False,False,False,35725,Jessica Isle,,Lake Christinaport,11203,64887.0
1958,1,5,2,0,1747,1745,none,0,0,False,False,False,False,35725,Jessica Isle,,Lake Christinaport,11203,143636.0
1961,1,1,1,0,998,1161,none,0,242,False,False,False,False,73327,Kurt Crescent,,Lake Christinaport,11203,81896.0
2005,1,4,4,0,2020,2254,attached,502,0,True,False,True,True,3522,Dana Bridge,,Lake Christinaport,11203,308701.0
2006,1,4,2,1,2517,2679,attached,624,0,True,False,True,True,1956,Perez Mount,,Lake Christinaport,11203,333904.0
2003,1,3,1,1,1835,2000,attached,428,0,True,False,True,True,829,Candice Skyway,,Lake Christinaport,11203,277197.0
2004,1,4,2,1,2112,2197,attached,397,0,True,True,True,True,55409,Wright Mills,,Lake Christinaport,11203,351537.0
2007,1,3,3,0,2174,2426,attached,508,0,True,False,True,True,867,Reyes Radial,,Lake Christinaport,11203,274681.0
2007,1,3,3,0,2169,2434,attached,509,0,True,False,True,True,719,James Motorway,,Lake Christinaport,11203,289801.0
1993,1,3,2,0,1646,1648,attached,402,0,True,True,True,True,760,Chris Vista,,Lake Christinaport,11203,225538.0
1973,1,2,1,0,835,865,none,0,0,False,False,True,True,45691,Steven Hollow,1063.0,Lake Christinaport,11203,56698.0
1989,1,3,2,0,2191,2188,attached,469,0,True,False,True,True,96285,James Isle,,Lake Christinaport,11203,277197.0
1972,1,2,1,1,1837,2460,attached,504,0,True,False,True,True,70518,Charles Plain,,Lake Christinaport,11203,144901.0
1990,1,2,2,0,1689,2193,attached,503,0,True,True,True,True,99496,Baldwin Centers,,Lake Christinaport,11203,204746.0
2003,1,3,2,0,2053,2460,attached,753,0,True,False,True,True,2923,Steven Hollow,,Lake Christinaport,11549,281614.0
1992,1,3,1,1,1636,2330,attached,482,0,True,False,True,True,50223,Warner Underpass,,Lake Christinaport,11203,233103.0
1979,1,3,2,1,1908,1912,attached,397,0,True,False,True,True,9025,Kristen Inlet,,Lake Christinaport,11203,239396.0
2007,1,2,2,0,1311,1694,detached,206,0,True,False,True,True,397,Cox Way,,West Ann,10748,311217.0
2005,1,3,3,0,1703,2111,none,0,0,True,False,True,True,819,Chapman Crescent,,West Ann,10748,434697.0
2000,2,2,3,0,1670,1830,none,0,0,True,False,True,True,313,Jacob Spring,,West Ann,10748,1140298.0
2005,1,5,5,0,5478,7433,attached,1118,0,True,True,True,True,3723,Williams Vista,,Richardport,11619,3213004.0
2003,1,3,2,1,4078,5034,detached,925,0,True,True,True,True,967,Anthony Crest,,West Ann,10748,1354501.0
1986,1,2,2,0,1390,1642,detached,466,0,True,False,True,True,155,Robin Passage,,West Ann,10748,491401.0
1973,1,2,2,1,2195,3352,detached,507,0,False,False,True,True,5518,Scott Road,,West Ann,10748,321298.0
1973,1,2,2,1,2205,3264,detached,505,0,False,False,True,True,8466,Scott Road,,West Ann,10748,466199.0
1981,1,2,2,0,1395,1641,detached,465,0,True,False,True,True,6825,Gary Pine,,West Ann,10748,378002.0
1986,1,2,2,0,1393,1637,detached,470,0,True,False,True,True,9620,Rodgers Square,,West Ann,10748,378004.0
1983,2,2,2,1,1742,1893,attached,421,0,True,False,True,True,89,Travis Inlet,,West Ann,10748,422103.0
2006,1,4,4,1,5980,7330,attached,849,0,True,True,True,True,5264,James Islands,,Richardport,11619,3433500.0
1990,1,3,2,0,1327,1483,attached,465,0,False,False,False,True,7339,Matthew Plains,,Lake Christinaport,11549,157501.0
2006,1,4,2,1,1893,1905,attached,442,0,True,False,True,True,7953,Roy Lock,,Lake Christinaport,11549,245698.0
2005,1,3,2,1,1889,1888,attached,442,0,True,True,True,True,4232,Parker Shores,,Lake Christinaport,11549,315003.0
1993,1,3,2,0,1098,2137,attached,320,0,False,False,True,True,5691,Wiggins Isle,,Lake Christinaport,11203,146159.0
1991,1,3,1,0,997,994,attached,322,0,False,False,False,False,8,Stone Points,,Lake Christinaport,11203,144903.0
