,num_bedrooms,total_sqft,sale_price
1093,4,2687,434701.0
1094,4,2433,461792.0
1116,4,3153,531720.0
1117,5,3582,499589.0
1118,5,3576,481323.0
1277,5,3163,486359.0
1587,3,1775,359733.0
1588,4,2219,407609.0
1589,4,2900,435328.0
1590,4,2061,372961.0
1591,3,1776,377367.0
1592,3,2095,347764.0
1593,4,2798,360991.0
1594,3,1681,328233.0
2624,2,1114,245701.0
2626,2,1103,234356.0
2627,2,1260,248217.0
2628,2,1231,12604.0
2629,2,1119,214203.0
2630,2,1071,289798.0
2631,2,971,220499.0
2633,2,1060,241924.0
2643,4,2374,412016.0
2647,3,2284,349017.0
2670,4,2641,455486.0
2673,5,3135,507784.0
2674,5,3135,482576.0
2675,5,2533,403198.0
2676,4,3370,519123.0
2680,3,1989,369182.0
2681,3,1977,378000.0
2682,5,3050,453596.0
2683,5,3051,428397.0
2684,4,2383,422104.0
2685,4,2380,434700.0
2687,4,2728,440999.0
2688,3,3009,441002.0
2689,4,2706,415804.0
2690,5,3407,423358.0
2691,3,2588,359099.0
2692,3,2052,342720.0
2693,4,2930,389344.0
2694,4,2925,403196.0
2695,4,2924,401941.0
2696,3,2590,365404.0
2697,4,1440,270898.0
2698,4,1888,346502.0
2699,4,1440,333903.0
2700,3,1365,327596.0
2701,3,1217,251996.0
2702,4,2203,470612.0
2703,2,1132,283503.0
2704,3,1814,333900.0
2705,3,1819,314997.0
2706,3,2115,346504.0
2707,3,1539,302404.0
2708,3,1869,352797.0
2709,3,1562,280347.0
2710,3,1869,308700.0
2711,2,928,226796.0
2722,2,1361,214196.0
2724,2,1369,214198.0
2725,3,1727,315003.0
2726,4,2138,359097.0
2727,2,965,56697.0
2728,2,1969,182698.0
2729,1,505,44097.0
2730,4,1307,215457.0
2732,3,1446,113396.0
2733,3,1622,364140.0
2840,3,1646,323193.0
6385,4,3231,507782.0
6402,5,4040,525423.0
6448,3,1909,567632.0
6449,3,1904,400677.0
6450,5,2770,476280.0
6479,5,4036,534873.0
6480,4,3496,444153.0
6648,5,3941,541801.0
6915,4,2897,449189.0
6916,4,2888,432806.0
6917,3,1684,333898.0
6931,1,931,225542.0
6932,1,554,225536.0
7984,3,2441,381778.0
7985,4,1801,340200.0
7986,4,2133,376741.0
7990,2,1101,220498.0
7991,2,1103,224281.0
7995,4,2957,425884.0
7996,4,2521,359103.0
7997,4,2268,396898.0
7998,4,2961,396904.0
7999,4,3114,352800.0
8000,4,2529,403198.0
8001,3,1786,342719.0
8002,3,1790,364137.0
8032,5,2839,469981.0
8033,4,2949,453600.0
8034,3,2384,360987.0
8035,3,2571,428400.0
8036,3,2330,406350.0
8037,5,3853,522904.0
8041,3,2200,348389.0
8042,5,3058,425879.0
8043,5,3048,401938.0
8045,3,2480,422097.0
8046,3,2625,443517.0
8047,3,2974,459902.0
8048,4,3136,439736.0
8049,4,2710,430918.0
8050,4,2933,384301.0
8051,3,2258,351537.0
8052,3,2262,378003.0
8053,3,1416,340828.0
8054,3,1213,258302.0
8055,3,1273,302399.0
8056,2,961,253256.0
8057,3,1275,258298.0
8058,3,1275,239404.0
8059,4,2074,340202.0
8060,3,1821,352797.0
8061,3,1826,350278.0
8062,3,1660,327604.0
8063,3,1868,327596.0
8064,4,2072,359103.0
8065,2,1373,280981.0
8066,3,1601,289804.0
8067,3,1858,289803.0
8068,2,1389,264600.0
8077,2,1363,212944.0
8078,5,2844,384302.0
8079,2,806,75601.0
8080,3,1242,252004.0
8081,3,1819,346503.0
8082,4,2444,370442.0
8083,3,1819,345242.0
8084,3,1822,78118.0
8085,2,2814,171363.0
8086,3,1441,352800.0
8087,3,1798,315000.0
8088,3,1808,409497.0
8089,4,1993,415800.0
8090,3,1617,359100.0
9533,4,2374,403199.0
11824,5,3579,561959.0
11825,4,3156,522267.0
11826,5,4028,577082.0
12271,4,2059,420837.0
12272,4,2889,434699.0
12273,4,2054,385563.0
12274,3,1772,381149.0
12275,4,2221,398159.0
12277,3,1680,327603.0
13333,2,1449,340201.0
13335,3,1608,383043.0
13336,2,1150,264597.0
13337,2,1266,231212.0
13338,2,980,230579.0
13339,2,1110,245698.0
13350,4,2519,396904.0
13364,4,2476,439111.0
13373,5,2836,475017.0
13374,5,2831,459270.0
13375,4,2639,458010.0
13376,4,2822,453604.0
13377,5,2831,440373.0
13378,5,3088,491400.0
13379,4,3242,466201.0
13380,4,3006,520380.0
13381,4,3000,461793.0
13382,3,2196,399420.0
13383,3,2479,440999.0
13384,3,2349,415801.0
13385,3,2355,409499.0
13386,4,2997,408237.0
13387,3,2291,314996.0
13388,4,3133,428396.0
13389,4,2582,390604.0
13390,5,2341,391863.0
13391,3,2193,352799.0
13392,3,2293,396898.0
13393,3,2585,352803.0
13394,4,2926,379264.0
13395,3,1365,308701.0
13396,3,1206,277199.0
13397,3,1211,229324.0
13398,3,1217,297988.0
13399,3,1275,277199.0
